Data,Atividade,Quantidade Processada,Acao,Quantidade em Estoque
2023-09-19 16:21:39,QUALITY,100,Passed,300
2023-09-19 16:21:44,QUALITY,100,Passed,400
2023-09-19 16:21:49,QUALITY,100,Passed,300
2023-09-19 16:21:54,QUALITY,100,Passed,400
2023-09-19 16:21:59,QUALITY,100,Passed,350
2023-09-19 16:45:57,QUALITY,100,Passed,300
2023-09-19 16:46:02,QUALITY,100,Passed,400
2023-09-19 16:46:12,QUALITY,100,Passed,400
2023-09-19 16:46:17,QUALITY,100,Passed,500
2023-09-19 16:48:34,QUALITY,100,Passed,300
2023-09-19 16:48:39,QUALITY,100,Passed,400
2023-09-19 16:48:44,QUALITY,100,Passed,300
2023-09-19 16:48:49,QUALITY,100,Passed,400
2023-09-19 16:48:54,QUALITY,100,Passed,500
2023-09-19 16:49:04,QUALITY,100,Passed,500
2023-09-19 16:49:09,QUALITY,100,Passed,550
2023-09-19 16:49:14,QUALITY,100,Passed,450
2023-09-19 16:49:24,QUALITY,100,Passed,250
2023-09-19 16:49:29,QUALITY,100,Passed,150
2023-09-19 16:49:34,QUALITY,100,Returned,50
2023-09-19 16:49:39,QUALITY,50,Returned,0
2023-09-19 16:49:54,QUALITY,100,Passed,0
2023-09-19 16:50:04,QUALITY,50,Returned,0
2023-09-19 16:50:19,QUALITY,50,Passed,0
2023-09-19 17:06:59,QUALITY,100,Passed,400
2023-09-19 17:07:04,QUALITY,100,Passed,300
2023-09-19 17:09:22,QUALITY,100,Returned,300
2023-09-19 17:09:27,QUALITY,100,Passed,400
2023-09-19 17:09:32,QUALITY,100,Passed,300
2023-09-19 17:12:33,QUALITY,100,Passed,300
2023-09-19 17:12:38,QUALITY,100,Passed,400
2023-09-19 17:12:43,QUALITY,100,Passed,300
2023-09-19 17:12:48,QUALITY,100,Passed,400
2023-09-19 17:12:53,QUALITY,100,Passed,500
2023-09-19 17:12:58,QUALITY,100,Passed,400
2023-09-19 17:13:03,QUALITY,100,Passed,500
2023-09-19 17:13:08,QUALITY,100,Passed,600
2023-09-19 17:43:00,QUALITY,100,Returned,300
2023-09-19 17:43:05,QUALITY,100,Passed,400
2023-09-19 17:43:10,QUALITY,100,Passed,300
2023-09-19 17:43:15,QUALITY,100,Passed,400
2023-09-19 17:43:20,QUALITY,100,Passed,500
2023-09-19 17:43:25,QUALITY,100,Passed,400
2023-09-19 17:43:30,QUALITY,100,Passed,500
2023-09-19 17:43:35,QUALITY,100,Passed,600
2023-09-19 17:43:40,QUALITY,100,Passed,500
2023-09-19 17:43:45,QUALITY,100,Passed,600
2023-09-19 17:43:55,QUALITY,100,Passed,600
2023-09-19 17:44:10,QUALITY,100,Passed,700
2023-09-19 17:44:20,QUALITY,100,Passed,700
2023-09-19 17:44:25,QUALITY,100,Passed,800
