Data,Atividade,Quantidade Processada,Quantidade em Estoque
2023-09-19 16:46:16,PACKING,2,100
2023-09-19 16:48:53,PACKING,4,100
2023-09-19 16:49:01,PACKING,2,100
2023-09-19 16:49:09,PACKING,2,200
2023-09-19 16:49:12,BOXING,6,2
2023-09-19 16:49:17,PACKING,4,100
2023-09-19 16:49:22,BOXING,2,4
2023-09-19 16:49:25,PACKING,2,100
2023-09-19 16:49:32,BOXING,4,2
2023-09-19 16:49:33,PACKING,2,100
2023-09-19 16:49:41,PACKING,2,0
2023-09-19 16:49:42,BOXING,2,4
2023-09-19 16:49:52,BOXING,4,0
2023-09-19 16:50:04,PACKING,2,0
2023-09-19 16:50:17,BOXING,2,0
2023-09-19 16:50:27,PACKING,0,50
2023-09-19 16:50:35,PACKING,0,50
2023-09-19 16:50:43,PACKING,0,50
2023-09-19 16:50:51,PACKING,0,50
2023-09-19 16:50:59,PACKING,0,50
2023-09-19 16:51:08,PACKING,0,50
2023-09-19 16:51:16,PACKING,0,50
2023-09-19 16:51:24,PACKING,0,50
2023-09-19 16:51:32,PACKING,0,50
2023-09-19 16:51:40,PACKING,0,50
2023-09-19 16:51:48,PACKING,0,50
2023-09-19 16:51:56,PACKING,0,50
2023-09-19 16:52:04,PACKING,0,50
2023-09-19 16:52:12,PACKING,0,50
2023-09-19 16:52:20,PACKING,0,50
2023-09-19 16:52:28,PACKING,0,50
2023-09-19 16:52:36,PACKING,0,50
2023-09-19 16:52:44,PACKING,0,50
2023-09-19 16:52:52,PACKING,0,50
2023-09-19 16:53:00,PACKING,0,50
2023-09-19 16:53:08,PACKING,0,50
2023-09-19 16:53:16,PACKING,0,50
2023-09-19 16:53:24,PACKING,0,50
2023-09-19 16:53:32,PACKING,0,50
2023-09-19 17:12:53,PACKING,4,100
2023-09-19 17:13:01,PACKING,2,200
2023-09-19 17:13:09,PACKING,4,200
2023-09-19 17:13:11,BOXING,6,4
2023-09-19 17:43:19,PACKING,4,100
2023-09-19 17:43:27,PACKING,2,200
2023-09-19 17:43:35,PACKING,4,200
2023-09-19 17:43:38,BOXING,6,4
2023-09-19 17:43:44,PACKING,4,100
2023-09-19 17:43:48,BOXING,4,4
2023-09-19 17:43:52,PACKING,2,100
2023-09-19 17:43:58,BOXING,4,2
2023-09-19 17:44:00,PACKING,2,100
2023-09-19 17:44:08,PACKING,2,0
2023-09-19 17:44:08,BOXING,2,4
2023-09-19 17:44:18,BOXING,4,0
2023-09-19 17:44:21,PACKING,2,100
2023-09-19 17:44:29,PACKING,2,100
2023-09-19 17:44:33,BOXING,2,2
2023-09-19 17:44:37,PACKING,2,200
2023-09-19 17:44:43,BOXING,2,2
2023-09-19 17:44:45,PACKING,4,100
2023-09-19 17:44:53,PACKING,2,100
2023-09-19 17:44:53,BOXING,2,6
2023-09-19 17:45:01,PACKING,2,200
2023-09-19 17:45:03,BOXING,6,2
2023-09-19 17:45:09,PACKING,4,0
2023-09-19 17:45:13,BOXING,2,4
2023-09-19 17:45:23,BOXING,4,0
2023-09-19 17:45:27,PACKING,2,200
2023-09-19 17:45:35,PACKING,4,50
2023-09-19 17:45:38,BOXING,2,4
2023-09-19 17:45:43,PACKING,0,50
2023-09-19 17:45:48,BOXING,4,0
2023-09-19 17:45:51,PACKING,0,50
2023-09-19 17:45:59,PACKING,0,50
2023-09-19 17:46:07,PACKING,0,50
2023-09-19 17:46:15,PACKING,0,50
2023-09-19 17:46:23,PACKING,0,50
2023-09-19 17:46:31,PACKING,0,50
2023-09-19 17:46:39,PACKING,0,50
2023-09-19 17:46:47,PACKING,0,50
2023-09-19 17:46:55,PACKING,0,50
2023-09-19 17:47:03,PACKING,0,50
2023-09-19 17:47:11,PACKING,0,50
2023-09-19 17:47:19,PACKING,0,50
2023-09-19 17:47:27,PACKING,0,50
2023-09-19 17:47:35,PACKING,0,50
