Data,Acao,Quantidade Produzida,Quantidade em estoque
2023-09-19 21:11:03,FRYER,200,250
2023-09-19 21:11:11,FRYER,200,350
2023-09-19 21:11:19,FRYER,200,450
2023-09-19 21:11:27,FRYER,200,400
2023-09-19 21:11:35,FRYER,200,500
2023-09-19 21:11:43,FRYER,200,450
2023-09-19 21:11:51,FRYER,200,550
2023-09-19 21:11:59,FRYER,200,750
2023-09-19 21:12:07,FRYER,200,650
2023-09-19 21:12:15,FRYER,200,600
2023-09-19 21:12:23,FRYER,200,550
2023-09-19 21:12:31,FRYER,200,1350
2023-09-19 21:12:39,FRYER,200,1450
2023-09-19 21:12:47,FRYER,200,1400
2023-09-19 21:12:55,FRYER,200,1500
2023-09-19 21:13:03,FRYER,200,1450
2023-09-19 21:13:11,FRYER,200,1550
2023-09-19 21:13:19,FRYER,200,1750
2023-09-19 21:13:27,FRYER,200,1800
2023-09-19 21:13:35,FRYER,200,1900
2023-09-19 21:13:43,FRYER,200,1850
2023-09-19 21:13:51,FRYER,200,1950
2023-09-19 21:13:59,FRYER,200,2050
2023-09-19 21:14:07,FRYER,200,2100
2023-09-19 21:14:15,FRYER,200,2300
2023-09-19 21:14:23,FRYER,200,2250
2023-09-19 21:14:31,FRYER,200,2350
2023-09-19 21:14:39,FRYER,200,2450
2023-09-19 21:14:47,FRYER,200,2400
2023-09-19 21:14:55,FRYER,200,2500
2023-09-19 21:15:03,FRYER,200,2450
2023-09-19 21:15:11,FRYER,200,2550
2023-09-19 21:15:19,FRYER,200,2650
2023-09-19 21:15:28,FRYER,200,2700
2023-09-19 21:15:36,FRYER,200,4550
2023-09-19 21:15:44,FRYER,200,4500
2023-09-19 21:15:52,FRYER,200,4600
2023-09-19 21:16:00,FRYER,200,4700
2023-09-19 21:16:08,FRYER,200,4750
2023-09-19 21:16:16,FRYER,200,4850
2023-09-19 21:16:24,FRYER,200,4800
2023-09-19 21:16:32,FRYER,200,4900
2023-09-19 21:16:40,FRYER,200,4850
2023-09-19 21:16:48,FRYER,200,4950
2023-09-19 21:16:56,FRYER,200,5050
2023-09-19 21:17:04,FRYER,200,5100
2023-09-19 21:17:12,FRYER,200,5200
2023-09-19 21:17:20,FRYER,200,5150
2023-09-19 21:17:28,FRYER,200,5250
2023-09-19 21:17:36,FRYER,200,5950
2023-09-19 21:17:44,FRYER,200,6000
2023-09-19 21:17:52,FRYER,200,6100
2023-09-19 21:18:00,FRYER,200,6050
2023-09-19 21:18:08,FRYER,200,6250
2023-09-19 21:18:16,FRYER,200,6350
2023-09-19 21:18:24,FRYER,200,6300
2023-09-19 21:18:32,FRYER,200,6400
2023-09-19 21:18:40,FRYER,200,6450
2023-09-19 21:18:48,FRYER,200,6650
2023-09-19 21:18:56,FRYER,200,6750
2023-09-19 21:19:04,FRYER,200,6700
2023-09-19 21:19:12,FRYER,200,6800
2023-09-19 21:19:20,FRYER,200,6750
2023-09-19 21:19:28,FRYER,200,6850
2023-09-19 21:19:36,FRYER,200,7400
2023-09-19 21:19:44,FRYER,200,7350
2023-09-19 21:19:52,FRYER,200,7450
2023-09-19 21:20:00,FRYER,200,7400
2023-09-19 21:20:08,FRYER,200,7500
2023-09-19 21:20:16,FRYER,200,7600
2023-09-19 21:20:24,FRYER,200,7550
2023-09-19 21:20:32,FRYER,200,7750
2023-09-19 21:20:40,FRYER,200,7800
2023-09-19 21:20:48,FRYER,200,7900
2023-09-19 21:20:56,FRYER,200,8000
2023-09-19 21:21:04,FRYER,200,7950
2023-09-19 21:21:12,FRYER,200,8050
2023-09-19 21:21:20,FRYER,200,8100
2023-09-19 21:21:28,FRYER,200,8200
2023-09-19 21:21:36,FRYER,200,8300
2023-09-19 21:21:44,FRYER,200,8250
2023-09-19 21:21:52,FRYER,200,8350
2023-09-19 21:22:00,FRYER,200,8400
2023-09-19 21:22:09,FRYER,200,8500
2023-09-19 21:22:17,FRYER,200,8600
2023-09-19 21:22:25,FRYER,200,8550
2023-09-19 21:22:33,FRYER,200,8650
2023-09-19 21:22:41,FRYER,200,8600
2023-09-19 21:22:49,FRYER,200,8700
2023-09-19 21:22:57,FRYER,200,8800
2023-09-19 21:23:05,FRYER,200,8750
2023-09-19 21:23:13,FRYER,200,8850
2023-09-19 21:23:21,FRYER,200,8800
2023-09-19 21:23:29,FRYER,200,9000
2023-09-19 21:23:37,FRYER,200,9100
2023-09-19 21:23:45,FRYER,200,9050
2023-09-19 21:23:53,FRYER,200,9150
